name;rating;damage_round;headshots;headshot_percent;aces;clutches;flawless;first_bloods;assists;kd_ratio;kills_round;score_round;win_percent;agent_1;gun1_name
EMP Bon;Immortal;134.1;112.0;23.4;0;127;52;112.0;348.0;0.97;0.7;200.3;51.4;Chamber;Vandal
Dispel Imobility;Immortal;138.3;144.0;23.5;3;110;40;144.0;319.0;1.02;0.8;213.5;44.9;Chamber;Vandal
boop;Immortal;144.7;105.0;23.0;3;60;41;105.0;136.0;1.21;0.8;226.1;57.5;Chamber;Vandal
AREYOUNERVOUS;Immortal;133.4;136.0;26.7;1;114;74;136.0;348.0;0.99;0.7;203.5;63.4;Jett;Vandal
JustHenry;Immortal;135.2;123.0;21.1;0;89;33;123.0;190.0;0.88;0.7;208.0;43.1;Jett;Vandal
Terps;Immortal;135.7;137.0;23.9;0;98;86;137.0;519.0;1.0;0.7;202.5;56.4;Omen;Vandal
shlong dong;Immortal;160.5;293.0;19.6;4;119;78;293.0;339.0;1.21;0.9;255.4;53.2;Jett;Vandal
Yas;Immortal;136.1;197.0;18.5;2;164;101;197.0;626.0;0.98;0.7;207.7;52.7;Fade;Vandal
voz;Immortal;161.3;143.0;16.9;1;78;70;143.0;402.0;1.19;0.8;249.0;53.3;Chamber;Vandal
DOYUN;Immortal;145.2;245.0;32.7;1;111;57;245.0;217.0;1.04;0.8;224.5;59.1;Chamber;Vandal
KEEPITPMA;Immortal;130.6;111.0;16.1;1;76;52;111.0;368.0;0.97;0.7;199.9;55.2;Chamber;Vandal
apostile;Immortal;143.7;256.0;22.9;1;172;109;256.0;554.0;1.11;0.8;219.5;47.4;Chamber;Vandal
XpLoiTs;Immortal;136.4;114.0;17.6;2;98;81;114.0;549.0;1.11;0.7;209.8;51.2;Sova;Phantom
Mesa;Immortal;129.6;52.0;22.8;0;61;36;52.0;204.0;0.98;0.7;199.7;56.8;Chamber;Vandal
DollaDre;Immortal;130.0;82.0;23.8;0;67;33;82.0;289.0;0.95;0.7;199.2;49.0;Fade;Vandal
RE haru;Immortal;124.4;114.0;23.1;0;57;33;114.0;183.0;0.97;0.7;191.5;45.3;Chamber;Vandal
dv zerona;Immortal;157.7;161.0;29.9;2;88;44;161.0;181.0;1.05;0.8;238.5;47.9;Jett;Vandal
TU jexcy;Immortal;140.8;208.0;24.1;3;142;72;208.0;571.0;1.03;0.8;215.8;40.8;Fade;Vandal
jello;Immortal;152.4;109.0;21.4;0;76;62;109.0;394.0;1.09;0.8;227.1;50.0;Brimstone;Vandal
Hyped;Immortal;151.3;169.0;25.0;2;87;57;169.0;292.0;1.0;0.8;230.7;63.8;Reyna;Vandal
Squill;Immortal;133.9;75.0;21.1;0;66;44;75.0;319.0;0.92;0.7;199.8;61.9;Fade;Phantom
Gody;Immortal;152.4;160.0;27.6;4;105;71;160.0;450.0;1.1;0.8;234.1;52.2;Brimstone;Vandal
their;Immortal;104.0;67.0;16.3;0;81;50;67.0;360.0;0.79;0.6;158.2;53.5;Omen;Vandal
HotKidNoDad;Immortal;159.5;100.0;21.4;0;64;32;100.0;288.0;1.15;0.8;240.9;65.9;Fade;Phantom
Woke;Immortal;158.4;135.0;29.8;1;107;51;135.0;293.0;1.12;0.8;237.8;56.9;Reyna;Vandal
min;Immortal;141.2;173.0;24.6;0;142;83;173.0;507.0;1.02;0.7;212.4;54.5;Sova;Vandal
dogyears;Immortal;126.8;100.0;18.0;1;55;23;100.0;246.0;0.94;0.7;201.2;53.5;Chamber;Phantom
adnaPBackwards;Immortal;160.3;152.0;22.3;1;99;52;152.0;391.0;1.16;0.8;243.4;50.0;Chamber;Vandal
tweak;Immortal;150.1;119.0;20.1;2;107;70;119.0;446.0;1.04;0.8;222.0;52.0;Sova;Vandal
Spider;Immortal;128.0;62.0;28.1;0;64;32;62.0;290.0;0.94;0.7;194.8;51.2;Omen;Vandal
carn;Immortal;149.4;117.0;22.9;2;78;53;117.0;362.0;1.06;0.8;224.9;46.4;Jett;Vandal
MBChaos;Immortal;122.3;100.0;23.5;0;125;77;100.0;471.0;0.96;0.7;188.1;49.4;Viper;Vandal
Cerberus;Immortal;132.8;347.0;20.0;3;230;176;347.0;1.125;1.06;0.7;199.4;51.4;Chamber;Phantom
SHOOT THE DART;Immortal;147.6;117.0;18.2;2;95;70;117.0;360.0;1.15;0.8;227.8;62.1;Chamber;Vandal
yats;Immortal;139.3;161.0;24.8;1;91;61;161.0;285.0;1.16;0.8;215.8;53.6;Chamber;Vandal
Synic;Immortal;139.0;108.0;27.1;1;89;72;108.0;346.0;1.15;0.7;206.8;53.5;Brimstone;Vandal
Jordan;Immortal;143.0;98.0;30.3;2;74;36;98.0;196.0;1.07;0.7;210.9;54.7;Jett;Vandal
INSKYFANGIRL;Immortal;146.2;137.0;32.0;5;113;63;137.0;440.0;1.12;0.8;224.5;55.8;Reyna;Vandal
Bujt;Immortal;140.8;113.0;14.4;1;73;45;113.0;248.0;0.98;0.7;217.5;56.5;Raze;Vandal
Nexevis;Immortal;116.7;76.0;27.6;0;86;58;76.0;487.0;0.93;0.6;179.6;54.7;Fade;Phantom
MattOXv2;Immortal;150.1;105.0;25.1;1;60;49;105.0;346.0;1.12;0.8;222.9;55.3;Fade;Vandal
ibanez;Immortal;136.7;133.0;20.3;1;158;77;133.0;666.0;1.06;0.7;207.1;49.1;Sova;Vandal
SerDinkus;Immortal;121.2;47.0;27.2;2;65;42;47.0;356.0;0.93;0.6;182.9;50.0;Omen;Phantom
kim ê¹€;Immortal;140.6;241.0;22.1;1;156;81;241.0;617.0;0.96;0.7;215.0;45.5;Sova;Phantom
renzsx;Immortal;132.3;106.0;26.9;0;71;41;106.0;201.0;0.96;0.7;203.6;47.9;Reyna;Vandal
Aywoo;Immortal;142.6;133.0;27.3;0;87;30;133.0;269.0;0.91;0.7;212.6;48.1;Jett;Vandal
Goonjar;Immortal;148.4;271.0;24.6;1;117;74;271.0;300.0;1.05;0.8;230.0;47.4;Jett;Vandal
willow;Immortal;140.8;104.0;28.2;0;63;30;104.0;195.0;0.99;0.7;208.7;46.8;Chamber;Vandal
Quicklay;Immortal;141.3;95.0;18.9;2;58;59;95.0;315.0;1.18;0.8;217.3;58.9;Fade;Vandal
Retro;Immortal;146.7;107.0;31.4;2;75;44;107.0;196.0;1.18;0.8;225.1;59.6;Chamber;Vandal
Hypr;Immortal;156.8;431.0;25.1;11;197;134;431.0;658.0;1.1;0.8;242.7;52.4;Jett;Vandal
Vesper;Immortal;140.7;156.0;30.5;1;106;57;156.0;332.0;1.0;0.8;214.1;57.8;Skye;Vandal
bravo san;Immortal;146.5;158.0;21.1;3;135;76;158.0;590.0;1.23;0.8;224.2;59.0;Fade;Vandal
BondoC;Immortal;132.9;228.0;18.4;6;136;77;228.0;501.0;1.04;0.7;206.1;52.2;Chamber;Vandal
LittoBud;Immortal;135.9;97.0;29.4;0;59;50;97.0;256.0;1.04;0.7;205.2;52.9;Chamber;Vandal
Jahsh;Immortal;136.8;61.0;26.5;1;70;32;61.0;243.0;1.07;0.8;211.8;52.3;Chamber;Vandal
SoBluuuu;Immortal;152.2;152.0;24.7;3;99;52;152.0;336.0;1.1;0.8;232.5;50.9;Skye;Vandal
Phokous;Immortal;154.5;219.0;24.3;1;103;74;219.0;304.0;1.2;0.9;241.1;47.7;Yoru;Phantom
ITCHYBOOTY69;Immortal;146.1;105.0;18.5;0;47;38;105.0;191.0;1.04;0.8;225.5;62.9;Chamber;Vandal
I CANT AIM;Immortal;159.3;382.0;32.8;2;189;92;382.0;404.0;1.11;0.8;240.9;54.6;Reyna;Vandal
purple;Immortal;135.9;66.0;18.4;0;59;44;66.0;302.0;1.02;0.7;209.9;62.2;Fade;Vandal
10F Siege;Immortal;127.2;113.0;24.4;0;79;39;113.0;265.0;1.0;0.7;193.3;54.2;Chamber;Vandal
Abnormal;Immortal;137.7;110.0;14.8;1;90;47;110.0;317.0;0.93;0.7;208.1;45.6;Chamber;Vandal
slight;Immortal;133.4;146.0;22.1;1;117;44;146.0;412.0;0.93;0.7;207.9;48.5;KAY/O;Vandal
JSWERVO;Immortal;149.4;200.0;35.4;2;127;59;200.0;219.0;1.06;0.8;226.3;45.2;Jett;Vandal
Kilteri;Immortal;152.5;122.0;19.1;2;73;44;122.0;351.0;1.0;0.8;226.3;42.9;Reyna;Vandal
homeless;Immortal;140.3;195.0;23.8;1;162;75;195.0;504.0;1.04;0.8;214.4;53.4;Reyna;Vandal
reem;Immortal;133.7;153.0;21.4;1;98;50;153.0;299.0;0.99;0.7;203.5;45.8;Chamber;Vandal
Twistzz;Immortal;135.0;44.0;18.0;0;45;31;44.0;263.0;1.03;0.7;198.2;65.7;KAY/O;Vandal
Himmy Turner;Immortal;142.3;69.0;24.0;1;52;40;69.0;238.0;1.16;0.8;221.3;71.4;Brimstone;Phantom
Beefy;Immortal;153.9;52.0;24.2;1;48;29;52.0;155.0;1.15;0.8;233.9;71.0;Reyna;Phantom
Laken;Immortal;131.9;109.0;21.5;0;78;39;109.0;265.0;0.93;0.7;199.5;53.9;Jett;Phantom
Perc Angle;Immortal;144.5;210.0;31.8;1;125;53;210.0;278.0;1.1;0.8;220.8;52.5;Chamber;Vandal
noogabooz;Immortal;141.2;211.0;12.8;1;141;72;211.0;682.0;1.0;0.8;226.3;56.2;Brimstone;Vandal
r4ji;Immortal;137.5;185.0;22.5;2;135;92;185.0;610.0;1.05;0.7;209.3;49.1;Brimstone;Vandal
Shadowz;Immortal;145.1;183.0;27.7;7;129;80;183.0;459.0;1.03;0.8;220.9;52.3;Skye;Vandal
June;Immortal;166.5;166.0;20.5;2;81;63;166.0;389.0;1.28;0.9;251.4;46.4;Raze;Vandal
gandhis flipflop;Immortal;141.3;87.0;25.2;0;96;57;87.0;386.0;0.96;0.7;218.2;59.6;Fade;Phantom
NMG Ä±ndra;Immortal;127.2;329.0;24.2;7;292;140;329.0;1.237;0.86;0.7;196.9;52.5;Fade;Vandal
Moon Dasnerth 2;Immortal;115.3;46.0;11.1;0;56;48;46.0;199.0;1.05;0.7;197.2;62.2;Cypher;Judge
Skerly;Immortal;146.2;91.0;14.9;1;67;48;91.0;397.0;1.13;0.8;226.9;61.7;KAY/O;Vandal
Shielnir;Immortal;111.3;104.0;25.6;0;105;50;104.0;327.0;0.88;0.6;169.1;50.0;Omen;Phantom
Echo;Immortal;161.7;110.0;21.7;1;74;44;110.0;244.0;1.3;0.9;248.7;62.5;Jett;Vandal
juve;Immortal;154.1;153.0;18.9;4;111;62;153.0;358.0;1.12;0.8;236.9;58.8;Raze;Vandal
ns Wheelsun;Immortal;157.9;347.0;16.5;6;270;139;347.0;1.074;1.02;0.8;239.8;51.5;Raze;Phantom
Razedx;Immortal;142.5;182.0;20.5;2;110;73;182.0;481.0;1.01;0.8;219.0;48.1;Sova;Vandal
enia;Immortal;143.4;166.0;19.5;2;104;58;166.0;296.0;1.01;0.8;218.2;57.4;Raze;Vandal
sayso;Immortal;144.3;241.0;24.4;2;141;75;241.0;464.0;0.95;0.7;218.1;52.2;Chamber;Vandal
sovve;Immortal;140.7;103.0;19.8;2;98;49;103.0;278.0;0.99;0.7;212.4;52.7;Chamber;Vandal
5K Thugzy;Immortal;132.9;175.0;23.0;1;188;95;175.0;718.0;0.93;0.7;198.0;50.9;Chamber;Vandal
FTP;Radiant;139.2;104.0;22.0;2;77;34;104.0;227.0;1.0;0.8;214.2;57.1;Reyna;Vandal
ACE Pingu;Immortal;149.8;124.0;27.0;5;78;55;124.0;225.0;1.07;0.8;224.7;51.9;Reyna;Vandal
PradaYou;Immortal;141.0;216.0;18.7;1;152;79;216.0;532.0;0.97;0.8;216.0;45.1;Jett;Phantom
yee;Immortal;162.8;99.0;27.7;1;55;41;99.0;200.0;1.3;0.9;248.8;50.0;Jett;Vandal
deejay;Immortal;147.0;140.0;24.9;3;57;45;140.0;206.0;1.17;0.8;230.1;47.1;Chamber;Vandal
5FootDilf;Immortal;134.5;82.0;18.1;1;76;28;82.0;239.0;0.9;0.7;203.6;48.8;Raze;Vandal
Eclipse;Immortal;144.0;214.0;28.5;2;107;51;214.0;269.0;1.05;0.8;226.1;47.4;Chamber;Vandal
Rafi;Radiant;139.2;148.0;16.0;1;74;50;148.0;293.0;1.06;0.8;218.5;58.5;Brimstone;Phantom
Exia;Immortal;143.4;118.0;27.0;3;70;49;118.0;161.0;1.14;0.8;222.6;58.3;Chamber;Vandal
Justice;Immortal;174.0;132.0;23.6;4;75;35;132.0;251.0;1.2;0.9;270.9;59.5;Jett;Vandal
slabo;Immortal;134.1;73.0;18.0;0;34;39;73.0;205.0;1.02;0.7;207.2;55.3;Chamber;Phantom
soulsucker3000;Immortal;144.1;65.0;20.7;0;47;58;65.0;273.0;1.12;0.8;218.5;55.8;Fade;Vandal
GS Bandit;Immortal;137.1;278.0;22.7;7;196;95;278.0;555.0;0.96;0.7;211.4;54.6;Chamber;Vandal
Star;Immortal;154.7;116.0;22.2;2;78;55;116.0;243.0;1.11;0.8;235.7;68.6;Neon;Vandal
Nyan;Immortal;127.3;84.0;28.6;0;75;54;84.0;389.0;1.02;0.7;194.8;57.8;Fade;Vandal
Vladimir the 2nd;Immortal;139.2;159.0;19.1;2;126;59;159.0;350.0;1.03;0.8;214.8;52.0;Chamber;Vandal
yoodini;Immortal;165.7;200.0;21.2;0;107;57;200.0;410.0;1.19;0.9;255.7;64.2;Fade;Vandal
Truce;Immortal;128.2;78.0;22.3;0;79;49;78.0;332.0;1.0;0.7;196.8;58.2;Omen;Vandal
villan;Immortal;142.2;101.0;25.5;0;96;52;101.0;417.0;1.02;0.7;211.3;57.4;Chamber;Vandal
sonder;Immortal;136.8;88.0;33.3;0;73;47;88.0;195.0;1.07;0.7;201.3;69.6;Chamber;Vandal
Neighbor;Immortal;133.6;179.0;19.3;1;126;83;179.0;522.0;1.04;0.7;210.1;45.4;Astra;Phantom
vinh;Immortal;126.5;119.0;24.1;0;93;46;119.0;247.0;0.91;0.7;190.3;58.5;Reyna;Vandal
SPç¥žé¢¨;Radiant;161.9;357.0;23.6;3;182;86;357.0;481.0;1.09;0.8;247.0;46.5;Jett;Vandal
hersheyownerss;Immortal;136.3;219.0;22.1;2;111;88;219.0;443.0;1.07;0.7;208.4;50.0;Chamber;Vandal
TheAbsoluteZer0;Immortal;143.7;117.0;28.5;1;89;54;117.0;436.0;1.13;0.8;217.3;53.5;Fade;Phantom
prove;Immortal;165.7;229.0;23.1;2;87;65;229.0;267.0;1.33;0.9;257.8;54.7;Chamber;Vandal
0bi;Immortal;130.8;66.0;20.7;0;66;36;66.0;247.0;0.97;0.7;201.3;55.3;Omen;Phantom
Xolo;Immortal;140.8;159.0;24.7;3;89;56;159.0;305.0;1.06;0.8;218.2;46.5;Jett;Vandal
SavagePanda;Immortal;150.1;187.0;16.8;0;105;80;187.0;450.0;1.22;0.8;233.2;51.2;Chamber;Vandal
KaySo0;Immortal;135.6;230.0;18.8;3;148;84;230.0;400.0;1.1;0.8;208.8;53.5;Chamber;Vandal
Mugiwara;Immortal;137.3;138.0;25.6;2;128;66;138.0;381.0;0.92;0.7;204.5;54.3;Chamber;Vandal
aceraceae;Immortal;139.2;137.0;20.4;0;87;77;137.0;281.0;1.09;0.7;211.7;57.4;Jett;Vandal
Slitç¥ž;Immortal;147.5;292.0;20.3;2;120;63;292.0;279.0;1.01;0.8;232.3;54.7;Jett;Operator
BingShui;Immortal;146.6;143.0;20.1;1;93;71;143.0;399.0;1.1;0.7;215.8;58.1;Sova;Vandal
ohDuckay;Immortal;129.1;124.0;17.6;0;107;52;124.0;422.0;0.94;0.7;198.4;52.8;Reyna;Vandal
Kiata;Immortal;148.1;274.0;26.0;3;114;75;274.0;407.0;1.0;0.8;222.3;54.6;Reyna;Vandal
KMR Nanis;Immortal;155.6;177.0;24.2;5;112;65;177.0;408.0;1.14;0.8;239.0;60.3;Neon;Vandal
sÐ¾rry;Immortal;143.2;272.0;29.2;2;154;80;272.0;443.0;1.0;0.8;220.5;52.1;Chamber;Vandal
optiMOE;Immortal;141.3;230.0;22.5;1;147;74;230.0;475.0;1.04;0.8;217.7;51.7;Chamber;Vandal
DevinFrohawk;Immortal;115.9;58.0;26.2;0;66;25;58.0;208.0;0.91;0.6;171.1;54.8;Sova;Vandal
Smelly toes;Immortal;152.8;138.0;20.4;0;65;28;138.0;180.0;1.06;0.8;240.4;59.5;Jett;Phantom
JUICE WARLORD;Immortal;145.0;656.0;25.2;7;345;185;656.0;1.112;0.92;0.7;219.1;55.1;Raze;Vandal
FAIRY;Immortal;117.3;172.0;24.3;1;236;139;172.0;791.0;0.86;0.6;172.1;52.7;Fade;Vandal
Pesh;Immortal;139.0;107.0;26.3;0;57;38;107.0;302.0;1.05;0.7;213.2;50.0;Viper;Vandal
BigHomie;Immortal;151.4;119.0;24.3;1;96;53;119.0;344.0;1.19;0.8;233.8;46.8;Skye;Vandal
cheatinq;Immortal;133.3;95.0;21.7;2;97;57;95.0;603.0;1.0;0.7;201.2;56.6;Viper;Vandal
Redskyla;Immortal;134.5;510.0;15.1;1;358;175;510.0;1.385;0.98;0.7;213.9;48.4;Brimstone;Vandal
DrGoodman;Immortal;131.1;61.0;29.0;4;51;36;61.0;217.0;0.95;0.7;198.8;65.7;Skye;Phantom
RDY kanye east;Immortal;131.0;145.0;22.2;1;106;46;145.0;271.0;0.95;0.7;200.3;60.7;Chamber;Vandal
SCC Darkball;Immortal;133.9;57.0;30.6;0;58;29;57.0;214.0;1.0;0.7;200.5;62.5;Viper;Vandal
peegee;Immortal;143.5;338.0;19.3;1;216;128;338.0;921.0;1.0;0.7;215.6;49.4;Chamber;Vandal
Zettua;Immortal;159.1;324.0;25.9;4;153;73;324.0;441.0;1.08;0.8;238.9;44.1;Jett;Phantom
Chemy;Immortal;139.9;289.0;27.8;3;223;114;289.0;894.0;0.99;0.7;212.4;47.4;Omen;Vandal
Endo;Immortal;147.7;232.0;20.4;2;144;89;232.0;653.0;1.13;0.8;225.7;51.9;Reyna;Vandal
Useridee;Immortal;127.6;119.0;20.0;0;118;77;119.0;594.0;1.03;0.7;196.1;48.0;Viper;Phantom
Rock;Immortal;141.4;344.0;20.7;1;213;134;344.0;637.0;1.05;0.8;219.9;55.2;Jett;Vandal
Want2WasteTime;Immortal;149.1;259.0;25.5;1;190;115;259.0;575.0;1.09;0.8;225.4;49.1;Neon;Vandal
zesty zucchini62;Immortal;152.1;187.0;23.2;4;122;83;187.0;391.0;1.12;0.8;230.6;59.5;Chamber;Vandal
bobo;Immortal;140.7;224.0;17.5;3;206;135;224.0;863.0;1.13;0.8;217.7;45.4;Jett;Vandal
MUSES;Immortal;157.6;100.0;20.9;2;61;54;100.0;296.0;1.2;0.8;240.9;52.2;Reyna;Vandal
BioHazard;Immortal;138.9;94.0;16.4;0;80;34;94.0;331.0;0.92;0.7;210.0;57.5;Raze;Phantom
xur;Immortal;143.1;161.0;23.6;1;99;80;161.0;360.0;1.05;0.7;212.1;59.7;Jett;Vandal
Zynal;Immortal;163.7;442.0;21.5;3;197;74;442.0;558.0;1.04;0.8;251.4;52.5;Reyna;Vandal
Carter;Immortal;129.6;91.0;17.1;0;72;44;91.0;270.0;0.92;0.7;194.6;49.0;Chamber;Vandal
malgre;Immortal;139.2;44.0;25.8;0;56;51;44.0;261.0;1.15;0.8;213.6;60.0;Fade;Vandal
Slade;Immortal;138.2;143.0;27.0;0;97;54;143.0;219.0;0.95;0.7;208.1;50.9;Chamber;Phantom
bot player;Immortal;139.4;88.0;29.9;1;53;32;88.0;140.0;1.02;0.7;213.0;62.9;Reyna;Phantom
kid shruums;Immortal;137.3;131.0;19.7;2;89;52;131.0;403.0;1.05;0.7;214.6;47.8;Fade;Vandal
IM A APEX PRED;Immortal;139.0;91.0;25.5;0;57;63;91.0;278.0;1.06;0.7;214.4;63.4;Reyna;Phantom
sun;Immortal;154.7;252.0;33.3;3;130;56;252.0;243.0;1.12;0.8;237.6;51.2;Jett;Vandal
vanilla;Immortal;166.3;163.0;25.8;2;78;66;163.0;249.0;1.29;0.9;256.4;55.2;Chamber;Vandal
kayto;Immortal;147.9;84.0;25.4;0;70;28;84.0;196.0;1.1;0.8;223.8;50.0;Chamber;Vandal
shalors;Immortal;136.6;293.0;29.1;3;155;94;293.0;473.0;1.03;0.7;210.6;46.9;Chamber;Vandal
hatsunemiku;Immortal;151.5;436.0;26.1;5;334;183;436.0;1.08;1.11;0.8;231.2;54.5;Viper;Vandal
Lemonn;Immortal;149.2;104.0;30.9;2;52;55;104.0;199.0;1.11;0.8;227.0;48.9;Chamber;Vandal
Four;Immortal;148.1;143.0;15.5;0;85;76;143.0;408.0;1.08;0.7;221.6;46.9;Reyna;Vandal
Timilktea;Immortal;123.2;86.0;18.1;0;95;87;86.0;625.0;1.03;0.7;189.3;55.7;Fade;Vandal
zam;Immortal;140.9;203.0;34.0;1;134;74;203.0;416.0;1.14;0.8;218.2;56.9;Jett;Vandal
RayLo;Immortal;161.0;154.0;19.2;2;88;51;154.0;258.0;1.17;0.8;242.8;57.9;Chamber;Phantom
zinc;Immortal;130.6;102.0;32.0;0;111;50;102.0;398.0;1.05;0.7;197.5;44.4;Sova;Vandal
verity is washed;Immortal;144.1;173.0;19.9;0;72;43;173.0;167.0;1.04;0.8;227.4;48.9;Jett;Vandal
Kakashi;Immortal;139.0;103.0;13.6;1;63;57;103.0;306.0;1.09;0.8;219.3;57.1;Fade;Vandal
ELO TERROR1ST;Immortal;126.0;348.0;20.9;1;223;123;348.0;1.008;0.9;0.7;197.8;47.1;Chamber;Phantom
GabeBabe;Immortal;150.0;387.0;28.3;2;188;84;387.0;628.0;0.97;0.8;229.0;52.1;Fade;Vandal
HypeRNT;Immortal;138.6;167.0;12.6;0;127;74;167.0;586.0;0.82;0.6;206.5;46.2;Sova;Vandal
zen;Immortal;164.5;272.0;25.8;0;106;84;272.0;305.0;1.22;0.9;256.7;56.8;Jett;Vandal
NOT JMIZZY;Immortal;153.4;136.0;25.5;1;96;57;136.0;399.0;1.06;0.8;233.0;52.5;Fade;Vandal
BadBenja18;Immortal;126.7;48.0;14.5;1;44;32;48.0;194.0;1.05;0.7;187.6;54.4;Killjoy;Vandal
Bondo;Immortal;147.2;114.0;15.3;3;84;47;114.0;387.0;1.13;0.8;229.3;49.2;Reyna;Vandal
SUCHAFUNGAMEHAHA;Immortal;137.9;71.0;22.0;1;75;36;71.0;321.0;1.11;0.8;215.9;53.3;Omen;Phantom
ball grabber;Immortal;154.8;80.0;17.9;1;46;47;80.0;207.0;1.18;0.8;239.9;61.1;Chamber;Vandal
Hyde;Immortal;145.5;72.0;24.6;0;53;34;72.0;184.0;1.13;0.8;223.7;64.7;Chamber;Vandal
ADDERAL ADDICT;Immortal;155.1;179.0;26.7;3;93;86;179.0;353.0;1.24;0.8;238.6;55.6;Chamber;Phantom
kerby;Immortal;132.2;119.0;27.9;2;118;108;119.0;485.0;1.03;0.7;194.2;57.5;Sova;Vandal
Ramadan Kyrie;Immortal;143.6;128.0;23.7;2;82;44;128.0;282.0;1.04;0.8;221.4;46.0;Chamber;Vandal
haniyue;Immortal;142.6;102.0;25.0;2;93;55;102.0;287.0;1.04;0.8;210.2;60.0;Reyna;Vandal
HeroinHazed;Immortal;133.2;261.0;16.8;0;197;99;261.0;712.0;0.91;0.7;203.3;50.8;Raze;Vandal
Maxy;Immortal;132.4;106.0;28.3;1;83;63;106.0;366.0;1.02;0.7;195.3;58.7;Raze;Vandal
Icarus;Immortal;147.7;111.0;27.1;3;60;44;111.0;165.0;1.0;0.7;220.4;68.6;Chamber;Vandal
souljahwitch;Immortal;143.8;84.0;20.8;1;85;56;84.0;341.0;1.1;0.8;216.9;57.1;Reyna;Vandal
Rydz;Immortal;167.1;121.0;26.1;2;55;50;121.0;180.0;1.37;0.9;255.8;67.5;Chamber;Phantom
Yad;Immortal;151.2;179.0;19.0;3;130;77;179.0;358.0;1.13;0.8;231.2;50.0;Reyna;Vandal
meenE;Immortal;154.2;284.0;23.3;4;143;72;284.0;343.0;1.1;0.8;239.7;56.6;Reyna;Vandal
aLEXXX;Immortal;152.1;189.0;21.3;1;82;51;189.0;171.0;1.13;0.8;240.7;58.0;Jett;Operator
ì´ê±°ë´;Immortal;155.5;166.0;26.3;1;96;74;166.0;255.0;1.24;0.8;235.0;41.0;Chamber;Vandal
Ilovemen;Immortal;187.4;160.0;17.9;1;50;41;160.0;171.0;1.38;1.0;291.8;75.8;Reyna;Vandal
toast;Immortal;152.2;119.0;16.7;0;79;56;119.0;360.0;1.19;0.8;237.4;62.3;Fade;Vandal
bobaghanoosh;Immortal;151.5;103.0;23.9;0;45;31;103.0;146.0;1.18;0.8;238.5;62.9;Reyna;Vandal
Dezvous;Immortal;131.8;104.0;20.7;0;45;27;104.0;118.0;1.12;0.7;208.0;65.6;Jett;Vandal
IluZ Snake;Immortal;143.9;159.0;27.2;1;93;42;159.0;419.0;0.99;0.8;219.9;57.4;KAY/O;Vandal
sinister;Immortal;152.6;88.0;22.6;1;65;40;88.0;213.0;1.08;0.8;231.8;56.5;Jett;Vandal
ivn;Immortal;145.6;133.0;30.1;2;116;40;133.0;382.0;1.02;0.8;222.3;46.8;Fade;Vandal
CG elektr0;Immortal;156.1;77.0;22.3;1;45;50;77.0;204.0;1.3;0.9;244.0;57.9;Jett;Vandal
bungee gum;Immortal;144.3;171.0;27.5;1;117;46;171.0;350.0;1.04;0.8;219.6;52.7;Reyna;Vandal
cjframes;Immortal;146.0;349.0;18.3;3;204;139;349.0;757.0;1.13;0.8;225.1;50.3;Omen;Vandal
n8e;Immortal;129.2;106.0;26.2;2;96;75;106.0;387.0;0.99;0.7;199.3;46.8;Sova;Phantom
SolistaReformed;Immortal;166.3;110.0;46.3;2;76;51;110.0;208.0;1.26;0.9;239.9;52.8;Reyna;Guardian
SpyChicken;Immortal;152.6;283.0;27.1;4;136;61;283.0;324.0;1.03;0.8;234.6;52.5;Jett;Vandal
Quaide;Immortal;128.2;91.0;29.6;0;63;40;91.0;262.0;1.0;0.7;195.9;52.3;Fade;Phantom
andrew kd;Immortal;181.8;122.0;18.8;2;57;38;122.0;237.0;1.47;1.0;281.7;54.8;Chamber;Vandal
badger;Immortal;132.7;160.0;27.2;3;112;79;160.0;367.0;0.96;0.7;198.4;45.1;Chamber;Vandal
Chrill;Immortal;145.7;73.0;19.9;1;58;31;73.0;240.0;1.07;0.8;222.5;63.9;Reyna;Vandal
wockhardt;Immortal;133.6;135.0;27.1;1;75;60;135.0;195.0;0.91;0.7;202.3;46.5;Jett;Vandal
Xupy;Immortal;157.3;84.0;29.5;1;50;25;84.0;312.0;1.2;0.8;239.4;47.7;Fade;Vandal
jayD;Immortal;135.3;39.0;24.7;0;46;42;39.0;177.0;1.13;0.8;203.8;63.2;Sova;Phantom
Johan;Immortal;133.2;154.0;23.3;1;122;61;154.0;494.0;1.01;0.7;201.8;52.2;Chamber;Vandal
vAzn;Immortal;118.3;141.0;21.3;0;102;54;141.0;384.0;0.82;0.6;183.7;47.8;Jett;Phantom
Fair;Immortal;144.1;440.0;29.5;4;204;125;440.0;511.0;1.04;0.8;224.0;55.2;Chamber;Vandal
petes duo;Immortal;170.8;233.0;23.6;4;69;54;233.0;177.0;1.25;0.9;262.9;62.5;Jett;Vandal
Reiæ‚ª;Immortal;150.2;108.0;33.5;1;73;46;108.0;262.0;1.11;0.8;222.1;60.8;Sova;Phantom
fun gamer;Immortal;137.6;148.0;21.5;2;133;75;148.0;587.0;1.01;0.7;206.2;57.0;Viper;Vandal
ANY Shoukaihan;Immortal;132.3;84.0;20.1;1;96;60;84.0;422.0;1.05;0.7;205.1;51.6;Brimstone;Vandal
lore;Immortal;156.2;55.0;27.7;0;56;31;55.0;181.0;1.29;0.9;239.7;70.0;Sova;Vandal
